name,birth
전준우,1986-02-25
정훈,1987-07-18
손아섭,1988-03-18
이대호,1982-06-21
민병헌,1987-03-10
번즈,1990-08-07
신본기,1989-03-21
김동한,1988-06-24
나종덕,1998-03-16
김원중,1993-06-14
이용규,1985-08-26
강경학,1992-08-11
송광민,1983-06-24
호잉,1989-05-18
이성열,1984-07-13
백창수,1988-05-09
장진혁,1993-09-30
하주석,1994-02-25
지성준,1994-04-10
휠러,1990-10-27
5 , 6
